NAME,POS,COLLEGE,CONFERENCE,STATE
Austin Allen,QB,Arkansas,SEC,Arkansas
Drew Anderson,QB,Murray State,FCS,Kentucky
Kevin Anderson,QB,Fordham,FCS,New York
Austin Appleby,QB,Florida,SEC,Florida
Alejandro Bennifield,QB,Chattanooga,FCS,Tennessee
Joe Callahan,QB,Wesley,D3,Delaware
KJ Carta-Samuels,QB,Colorado State,FBS - Mountain West,Colorado
Taryn Christion,QB,South Dakota State,FCS,South Dakota
CJ Collins,QB,Southwest Assembly of God,,
Connor Cook,QB,Michigan State,Big Ten,Michigan
Taylor Cornelius,QB,Oklahoma State,Big 12,Oklahoma
David Cornwell,QB,East Central (OK),,
BJ Daniels,QB,South Florida,FBS - AAC,Florida
Garrett Fugate,QB,Central Missouri,D2,Missouri
Justin Holman,QB,Central Florida,,
Tyree Jackson,QB,Buffalo,FBS - MAC,New York
Devante Kincade,QB,Grambling State,FCS,Louisiana
Trevor Knight,QB,Texas A&M,SEC,Texas
Tanner Lee,QB,Nebraska,Big Ten,Nebraska
Vad Lee,QB,James Madison,FCS,Virginia
Matt Linehan,QB,Idaho,FBS - Sun Belt,Idaho
TJ Linta,QB,Wagner,FCS,New York
Tanner Mangum,QB,Brigham Young,,
Jalan McClendon,QB,Baylor,Big 12,Texas
Marcus McDade,QB,Sacramento State,FCS,California
Greg McGhee,QB,Howard,FCS,Washington DC
Marcus McMaryion,QB,Fresno State,FBS - Mountain West,California
Zach Mettenberger,QB,Louisiana State,,
Philip Nelson,QB,East Carolina,FBS - AAC,North Carolina
Keith Price,QB,Washington,Pac 12,Washington
Peter Pujals,QB,Holy Cross,FCS,Massachusetts
Brogan Roback,QB,Eastern Michigan,FBS - MAC,Michigan
Vincent Testaverde Jr,QB,Albany,FCS,New York
Darron Thomas,QB,Oregon,Pac 12,Oregon
Alek Torgersen,QB,Pennsylvania,FCS,Pennsylvania
Patrick Towles,QB,Boston College,ACC,Massachusetts
Marquise Williams,QB,North Carolina,ACC,North Carolina
Khalid Abdullah,RB,James Madison,FCS,Virginia
